Operadora,Pais,Criterio,Peso,Nota,Fonte,Justificativa_atribuicao_nota
Vivo,BR,A_RAM_minima,0.25,3,"Documentação técnica Askey/MitraStar; comunicados institucionais Vivo","CPEs Askey RTF3507VW-N1/RTF8225VW e MitraStar GPT-2541GNAC-N2 documentados com 256-512MB de RAM; não há modelo legado abaixo dessa faixa amplamente reportado no parque ativo."
Vivo,BR,B_Heterogeneidade,0.15,3,"Comunicados institucionais Vivo","Parque de CPE relativamente padronizado, dominado por poucos fabricantes (Askey, MitraStar), com testes de FTTR em andamento."
Vivo,BR,C_Controle_firmware,0.20,4,"Comunicados institucionais Vivo","Operadora mantém controle centralizado do firmware dos CPEs, ativo relevante para coordenação de rollout de atualizações."
Vivo,BR,D_Risco_fragmentacao_UDP,0.15,4,"Comunicados institucionais Vivo; ANATEL","Predominância de rede FTTH urbana, sem indícios de dependência relevante de enlaces WISP com MTU reduzido."
Vivo,BR,E_Maturidade_institucional,0.10,3,"TELETIME News (2020); Telefônica Brasil (2020)","Presença de cargo institucional dedicado à gestão de certificados digitais e parcerias multicloud (AWS, Azure, Huawei Cloud) indicam maturidade técnica acima da média do setor."
Vivo,BR,F_Dependencia_infra_externa,0.05,4,"TELETIME News (2020); Telefônica Brasil (2020)","Infraestrutura multicloud distribuída entre três provedores (AWS, Huawei Cloud, Microsoft Azure), sem dependência de provedor único."
Vivo,BR,G_Suporte_corporativo,0.10,2,"Comunicados institucionais Vivo","Não há evidência pública de centro dedicado à transição PQC, mas há estrutura de segurança institucional documentada."
Claro,BR,A_RAM_minima,0.25,1,"ANATEL (2024); documentação de fabricantes","Parque HFC/DOCSIS legado inclui modelos Motorola/Technicolor/Arris de gerações anteriores documentados com 64-128MB de RAM."
Claro,BR,B_Heterogeneidade,0.15,0,"Portal institucional de configuração Claro","Parque de CPE mais heterogêneo entre as grandes operadoras analisadas, com dezenas de modelos de fabricantes distintos (Sagemcom, Technicolor, Nokia, ZTE, Huawei, Kaon, MitraStar, Humax, CBN, Arris, Motorola, Pace) coexistindo."
Claro,BR,C_Controle_firmware,0.20,2,"Comunicados institucionais Claro/Embratel","Homologação recente de modem Wi-Fi 7 indica ciclo ativo de renovação, mas heterogeneidade herdada da fusão NET+Claro dificulta controle uniforme de firmware."
Claro,BR,D_Risco_fragmentacao_UDP,0.15,2,"Documentação técnica DOCSIS; ANATEL","Redes HFC/DOCSIS legadas apresentam parâmetros de MTU distintos de FTTH, aumentando risco de fragmentação em segmentos mais antigos da rede."
Claro,BR,E_Maturidade_institucional,0.10,2,"Documentação institucional Embratel/Claro","Escala corporativa e certificação Tier III do datacenter sugerem capacidade técnica, mas não há evidência pública de estratégia específica de transição PQC."
Claro,BR,F_Dependencia_infra_externa,0.05,3,"Documentação institucional Embratel","Infraestrutura de data center própria (Embratel), com certificação Tier III, reduz dependência de provedor externo único."
Claro,BR,G_Suporte_corporativo,0.10,2,"Documentação institucional Embratel","Presença de estrutura corporativa de TI (Embratel) para clientes terceiros, mas sem centro dedicado a PQC documentado publicamente."
TIM,BR,A_RAM_minima,0.25,2,"Documentação de fabricantes; TIM Brasil","Modelos legados Technicolor no parque TIM documentados com 128-256MB de RAM, ainda que o modelo dominante atual (Sagemcom F@ST 5670) tenha 512MB-1GB."
TIM,BR,B_Heterogeneidade,0.15,4,"TIM Brasil","Parque de CPE descrito como o mais enxuto e padronizado entre as operadoras analisadas, essencialmente 3 modelos (Sagemcom, FiberHome, Technicolor)."
TIM,BR,C_Controle_firmware,0.20,4,"TIM Brasil","TIM documenta publicamente processo de atualização de firmware para múltiplos modelos de CPE, indicando controle ativo sobre versões distribuídas."
TIM,BR,D_Risco_fragmentacao_UDP,0.15,4,"TIM Brasil","Operação 100% FTTH (TIM UltraFibra), sem dependência de redes WISP ou HFC com MTU reduzido."
TIM,BR,E_Maturidade_institucional,0.10,4,"TIM Brasil (2024)","Primeira operadora brasileira a migrar 100% das cargas de trabalho para nuvem pública (OCI, Azure), indicando maturidade técnica elevada."
TIM,BR,F_Dependencia_infra_externa,0.05,3,"TIM Brasil (2024)","Dependência de dois provedores de nuvem pública (OCI e Azure) para infraestrutura crítica, sem controle direto sobre hardware físico subjacente."
TIM,BR,G_Suporte_corporativo,0.10,3,"TIM Brasil (2022)","Parceria tecnológica documentada com F5 Networks para soluções de segurança e otimização de tráfego de rede."
ISPs Regionais,BR,A_RAM_minima,0.25,1,"Documentação de fabricante TP-Link","CPEs residenciais TP-Link, amplamente utilizados por ISPs de pequeno porte, documentados com 64MB de RAM."
ISPs Regionais,BR,B_Heterogeneidade,0.15,1,"Documentação de fabricantes; levantamento setorial","Combinação variável de MikroTik, Ubiquiti, TP-Link e Huawei conforme porte e região do provedor, sem padronização setorial."
ISPs Regionais,BR,C_Controle_firmware,0.20,1,"MikroTik; levantamento setorial","RouterOS 6.x ainda em produção em parte relevante do setor (versão anterior à atual RouterOS 7), com ciclos de firmware não coordenados entre fabricantes distintos."
ISPs Regionais,BR,D_Risco_fragmentacao_UDP,0.15,0,"Documentação técnica WISP; MikroTik","Parcela significativa de ISPs regionais opera redes WISP com MTU efetivo reduzido (1400-1480 bytes), abaixo do padrão de 1500 bytes."
ISPs Regionais,BR,E_Maturidade_institucional,0.10,1,"Levantamento setorial","Setor tipicamente gerido por equipes técnicas pequenas (1 a 5 pessoas de TI), com conhecimento técnico limitado sobre DNSSEC reportado."
ISPs Regionais,BR,F_Dependencia_infra_externa,0.05,3,"Levantamento setorial","Uso comum de resolvers DNS públicos (Google, Cloudflare) como alternativa, reduzindo dependência de infraestrutura própria única."
ISPs Regionais,BR,G_Suporte_corporativo,0.10,0,"Levantamento setorial","Não há evidência de suporte corporativo ou institucional dedicado para o segmento de ISPs regionais de pequeno porte."
Telmex,MX,A_RAM_minima,0.25,1,"Documentação de fabricante Huawei/Arcadyan","Parque de CPE inclui modelos VDSL/ADSL legados (HG658D, 2Wire) documentados com 64-256MB de RAM, com subconjunto mínimo próximo de 64MB."
Telmex,MX,B_Heterogeneidade,0.15,1,"Telmex (2025); Instituto Federal de Telecomunicaciones (2025)","Coexistência de gerações tecnológicas distintas (91% FTTH moderno, 9% VDSL/ADSL legado), resultado de migração em massa em andamento."
Telmex,MX,C_Controle_firmware,0.20,0,"Documentação técnica de configuração Telmex/Arcadyan","Firmware Arcadyan documentado como extremamente proprietário, impedindo até mesmo alteração manual de parâmetros de DNS pelo usuário."
Telmex,MX,D_Risco_fragmentacao_UDP,0.15,3,"Instituto Federal de Telecomunicaciones (2025)","Predominância de rede FTTH/GPON moderna (91% dos clientes), reduzindo exposição a redes com MTU reduzido."
Telmex,MX,E_Maturidade_institucional,0.10,1,"Fóruns técnicos; Instituto Federal de Telecomunicaciones (2025)","Histórico documentado de críticas públicas à qualidade dos resolvers recursivos, sugerindo manutenção insuficiente da infraestrutura DNS."
Telmex,MX,F_Dependencia_infra_externa,0.05,3,"Telmex (2025)","Data center Triara, com certificação ICREA Level 5 e investimento próprio de USD 160 milhões, reduz dependência de terceiros."
Telmex,MX,G_Suporte_corporativo,0.10,2,"Telmex (2025)","Braço de data center (Triara) hospeda infraestrutura de terceiros, incluindo setor público e financeiro, mas sem evidência de centro dedicado à transição PQC."
Movistar,CO,A_RAM_minima,0.25,3,"Documentação de fabricante; Banda Ancha EU (2025)","CPEs Askey e MitraStar da geração HGU documentados com RAM entre 256MB e 1GB; modelos Wi-Fi 6 mais recentes chegam a 512MB-1GB."
Movistar,CO,B_Heterogeneidade,0.15,3,"Grupo Telefónica","Parque de CPE padronizado centralmente pelo grupo Telefónica, com modelos únicos por geração (Askey RTF3505VW, MitraStar GPT-2541GNAC/2741GNAC)."
Movistar,CO,C_Controle_firmware,0.20,4,"Comunidade técnica Laneros","Modems ativamente mantidos com firmware atualizado pela operadora, com versões documentadas publicamente por comunidade técnica especializada."
Movistar,CO,D_Risco_fragmentacao_UDP,0.15,3,"Cobertura documentada Movistar Colômbia","Predominância de FTTH (100% dos clientes), com atenção a possível MTU reduzido em backhaul de localidades remotas."
Movistar,CO,E_Maturidade_institucional,0.10,4,"Telefónica Tech (2023)","Suporte institucional do Centro de Operações Digitais (DOC) da Telefónica Tech em Bogotá, monitorando mais de 15.000 dispositivos de segurança."
Movistar,CO,F_Dependencia_infra_externa,0.05,3,"Telefónica Tech (2023)","Datacenter próprio do grupo Telefónica em Bogotá, com múltiplos provedores de acesso Internet Tier 1 disponíveis na região."
Movistar,CO,G_Suporte_corporativo,0.10,4,"Telefónica Tech (2023)","DOC da Telefónica Tech representa centro de operações de cibersegurança dedicado, com expertise em criptografia acessível à subsidiária local."
COPACO,PY,A_RAM_minima,0.25,0,"Documentação de fabricante; Comisión Nac. de Telecom. del Paraguay (2024)","Modems ADSL legados documentados com 32-64MB de RAM, o caso mais restritivo entre todas as operadoras analisadas."
COPACO,PY,B_Heterogeneidade,0.15,1,"COPACO S.A. (2024)","Parque composto por três camadas tecnológicas sobrepostas (ONTs GPON, modems ADSL, roteadores LTE), resultado de investimento irregular histórico."
COPACO,PY,C_Controle_firmware,0.20,0,"Portal institucional COPACO S.A. (2024)","Documentação técnica de configuração de roteadores permanece inalterada há anos, indicando ciclo de atualização de firmware extremamente lento ou inexistente."
COPACO,PY,D_Risco_fragmentacao_UDP,0.15,1,"COPACO S.A. (2024)","Rede móvel fixa (Vox/LTE) no interior do país amplia exposição a limitações de MTU em cenários de cobertura rural."
COPACO,PY,E_Maturidade_institucional,0.10,0,"SENATICs (2017)","Plano Nacional de Cibersegurança do Paraguai classifica explicitamente a maturidade de cibersegurança de empresas públicas, incluindo a COPACO, como incipiente."
COPACO,PY,F_Dependencia_infra_externa,0.05,0,"BGP.tools (2024); LACNIC (2024)","Conectividade internacional concentrada em poucas redes de peering (apenas 9 redes no AS27768), com único provedor de trânsito upstream documentado."
COPACO,PY,G_Suporte_corporativo,0.10,0,"SENATICs (2017)","Não há evidência pública de suporte corporativo ou institucional dedicado à cibersegurança ou à transição para PQC."
Claro Dominicana,RD,A_RAM_minima,0.25,0,"Huawei Technologies (2024); Claro Dominicana (2025)","Modems ADSL legados (HG520, ZTE H108N) documentados com 32-64MB de RAM."
